Run_ID,Seed,Model,Simulation_Time_sec,Vehicles_Passed,Evaluation_Reward,Throughput_vehicles_per_sec,Avg_Waiting_Time_sec_per_vehicle,Avg_Travel_Time_sec,Avg_Queue_Length_vehicles,Avg_Speed_kmh,Fairness_Index,Total_CO2_kg,Avg_CO2_kg_per_step,Total_Fuel_L,Avg_Fuel_L_per_step
1,100,mappo_v2.pt,2500.0,463,-49.40359999999999,0.1852,7.7386609071274295,63.59611231101512,9.622,29.292123627897418,0.5940250008521261,74.18275828522377,0.14836551657044755,24.049073748315603,0.04809814749663121
2,101,mappo_v2.pt,2500.0,484,-47.10139999999995,0.1936,7.105371900826446,63.27479338842975,9.498,29.212769648808404,0.5942757581726714,73.90069349888117,0.14780138699776232,23.9576322158905,0.047915264431781
3,102,mappo_v2.pt,2500.0,474,-51.29840000000002,0.1896,8.208860759493671,64.43037974683544,9.836,28.765763551342992,0.591440181912042,74.80520155898861,0.14961040311797721,24.250862712633666,0.04850172542526733
4,103,mappo_v2.pt,2500.0,459,-54.50599999999996,0.1836,8.453159041394336,66.32897603485839,10.056,28.561989861878565,0.6095941063151564,75.08077509873205,0.1501615501974641,24.34020145971668,0.04868040291943336
5,104,mappo_v2.pt,2500.0,463,-48.34159999999999,0.1852,7.455723542116631,63.46652267818575,9.362,29.054471357270813,0.5947937461867594,74.32245367308234,0.14864490734616467,24.09436327281223,0.04818872654562446
