System,Run,WaitingTime,TravelTime,Throughput,VehiclesPassed,FuelConsumption,CO2Emission,AvgQueue,AvgSpeedKmph,FairnessIndex,PassedCars,PassedBikes,PassedTrucks,PassedBuses,PassedMotorcycles,PassedRickshaws,PassedEmergencyVehicles,PassedOtherVehicles
Adaptive Context PPO,5.5,60.334,29.064,0.4321,259.3,6.0839,18.8004,5.348000000000001,9.104,0.18580000000000002,121.9,42.3,15.4,9.0,26.4,39.0,5.3,0.0
Fixed,5.5,150.441,32.973,0.395,237.0,6.06302,18.73452,7.141,7.539,,109.5,40.5,14.3,9.0,25.1,33.4,5.2,0.0
