Run_ID,Seed,Scenario,Simulation_Time_sec,Vehicles_Passed,Avg_Travel_Time_sec,Avg_Waiting_Time_sec_per_vehicle,Avg_Queue_Length_vehicles,Total_CO2_kg,Avg_CO2_kg,Total_Fuel_L,Avg_Fuel_L,Avg_Speed_kmh,Fairness_Index,Weather,Zone_Type,Road_Capacity,Throughput_vehicles_per_sec
1,1502,Low,60,23,18.478260066162605,0.36884056367359863,3.0,1.894731865566385,0.03157886389979202,0.612636987104566,0.01021061628156583,9.328396310261475,0.3417196308224064,Fog,School,0.9796057671437002,0.38333333333333336
2,6425,Low,60,28,20.678570690051046,0.16428570841836754,2.4833333333333334,2.107835339032715,0.03513058839836878,0.6813686340066072,0.011356143710841059,9.551469664413698,0.40502707769125224,Clear,School,0.888356890141389,0.4666666666666667
3,9794,Low,60,22,23.49999893181823,0.3803030130165297,3.4833333333333334,1.876429603722542,0.0312738262074786,0.6067191552910058,0.010111985752983669,7.670081132630071,0.4318699715391836,Fog,Residential,0.6280944676626361,0.36666666666666664
4,5568,Low,120,56,24.87499955580358,0.13422618807929426,3.35,4.251314648784229,0.03542762177797173,1.3739534200012242,0.011449611737930104,8.502696489017886,0.2866464839021774,Clear,Commercial,0.5117298760133093,0.4666666666666667
5,8957,Low,120,51,26.196077917723965,0.1367647032006921,3.2916666666666665,4.208285655227741,0.03506904683465578,1.3597041759393191,0.01133086803840376,7.75766288961817,0.45457888127274904,Clear,Industrial,0.667372953495623,0.425
6,9169,Low,120,47,30.08510574287009,0.5565602718462355,4.333333333333333,4.056867440901967,0.03380722839245615,1.3113147493362582,0.010927622820071961,6.977124002947293,0.43212232103971815,Clear,Industrial,0.8612879392021235,0.39166666666666666
7,6615,Low,300,140,31.207142634234696,0.07047618997278912,3.94,11.261500071808731,0.03753833344756799,3.6408786847820407,0.012136262242152595,6.953776242994491,0.4994314243855653,Clear,Commercial,0.7702600576131794,0.4666666666666667
8,8310,Low,300,142,30.71126738935727,0.08610328577861535,4.273333333333333,11.131540597221756,0.03710513520038874,3.5995202787772818,0.011998400889262937,7.029264407517662,0.3964575835746442,Fog,School,0.5498664016358067,0.47333333333333333
9,5626,Low,300,143,31.32167810264561,0.0745920740704517,4.03,11.171264607962094,0.03723754856908182,3.6126975134436905,0.012042325004671218,7.0321631816530985,0.4439012274784717,Rain,Residential,0.6097545880386719,0.4766666666666667
10,6512,Medium,60,22,23.59090801859509,0.39924240609504213,3.5833333333333335,1.892733103277493,0.031545551195532366,0.6119537612752215,0.010199229184599872,7.674650139731282,0.41619121931317493,Clear,Residential,0.5235705268543355,0.36666666666666664
11,1937,Medium,60,23,24.434781546313843,0.2565217279773162,3.033333333333333,1.9041454304734562,0.031735756645628325,0.6156393368024881,0.010260655442363877,8.276167061691421,0.1704209174389384,Clear,Commercial,0.5728647216500149,0.38333333333333336
12,3460,Medium,60,21,22.666665587301637,0.37301585525321324,3.0833333333333335,1.904466479152858,0.03174110745686251,0.615730815348003,0.010262180084763716,8.36788346764981,0.303667349930796,Clear,School,0.9425038924412008,0.35
13,4392,Medium,120,53,26.924527793876834,0.1451257834252997,3.475,4.250466221704268,0.0354205515523643,1.3739205799889387,0.011449338071163339,7.706210560939863,0.4427828101133995,Clear,Residential,0.9527665922861925,0.44166666666666665
14,8768,Medium,120,56,26.10714239094389,0.1986607107382016,3.591666666666667,4.359617892478504,0.03633014880123629,1.409091301725578,0.011742427416526254,8.222779404027321,0.41542848771703145,Fog,Residential,0.6466791545348772,0.4666666666666667
15,5316,Medium,120,51,26.921568099577097,0.15473855905741388,3.591666666666667,4.225560523366211,0.035213004067943386,1.3653573787261521,0.011377978061234785,7.706497901838484,0.3789917547915579,Rain,Industrial,0.6295034551258057,0.425
16,849,Medium,300,147,29.340135854829008,0.06013605401267991,3.8233333333333333,11.253301341959165,0.037511004348160536,3.6386479127830693,0.012128826335514143,7.354127651945373,0.4704761833617219,Clear,Residential,0.5044911849214164,0.49
