Run,Seed,System,SimulationTime,WaitingTime,TravelTime,Throughput,VehiclesPassed,FuelConsumption,CO2Emission,AvgQueue,AvgSpeedKmph,FairnessIndex,Weather,ZoneType,RoadCapacity
1,2026,Fixed,30,29.62,17.12,0.267,8,0.2262,0.699,2.8,9.12,0.277,,,
2,2026,Adaptive Context PPO,30,4.22,14.78,0.3,9,0.2497,0.7717,1.5,11.03,0.339,Rain,Industrial,0.707
