,Fixed Mean,Fixed Std,RL Mean,RL Std
WaitingTime,36.3455,1.239573249995846,19.9595,0.8494795620353618
TravelTime,58.384,1.3980301931834782,36.933,1.4059950587619985
Throughput,0.24399999999999994,0.009947229183096802,0.41050000000000003,0.015381123085406366
FuelConsumption,6.1556500000000005,0.07116199088957818,6.98215,0.12285390339320683
CO2Emission,19.03615,0.22018730662778896,21.5905,0.3840510519791811
