Run_ID,Seed,Scenario,Simulation_Time_sec,Vehicles_Passed,Avg_Travel_Time_sec,Avg_Waiting_Time_sec_per_vehicle,Avg_Queue_Length_vehicles,Total_CO2_kg,Avg_CO2_kg,Total_Fuel_L,Avg_Fuel_L,Avg_Speed_kmh,Fairness_Index,Weather,Zone_Type,Road_Capacity,Throughput_vehicles_per_sec
1,3153,Low,60,19,22.421051451523606,0.8412280259002792,5.033333333333333,1.6859129963755033,0.028098549471282565,0.545049077356369,0.009084151137870297,7.211692461694616,0.37176794470918617,Rain,Commercial,0.753386258410896,0.31666666666666665
2,259,Low,60,19,22.736840908587318,0.6657894386426612,4.316666666666666,1.8059184371246013,0.030098640117099354,0.5837279599674644,0.00972879917064442,7.60186998335448,0.4071254247294668,Heavy Rain,Residential,0.5030359338659334,0.31666666666666665
3,3399,Low,60,19,21.157893623268755,0.5070175171745166,3.75,1.7440003234143908,0.02906667157246199,0.5637350028021144,0.009395583223442187,7.884095262368421,0.373428070202662,Heavy Rain,School,0.9976322115495948,0.31666666666666665
4,2845,Low,120,47,30.553190839293812,0.3519503471216239,5.158333333333333,4.141522950857041,0.034512690969536255,1.3383779290758604,0.011153149316022593,6.919762761131155,0.4254623702358763,Fog,School,0.9167247236209686,0.39166666666666666
5,5719,Low,120,45,31.04444375456792,0.3414814738930043,5.2,3.979180702388364,0.03315983891023771,1.2861097853204762,0.010717581455024123,6.729861263898601,0.48601904024246423,Clear,Commercial,0.5767046590373844,0.375
6,7328,Low,120,54,25.75925878223595,0.18194444107510294,3.625,4.324124915890315,0.03603437399879951,1.3972284853052388,0.011643570613847236,8.020574603743071,0.3365318343437651,Heavy Rain,School,0.8388150662138444,0.45
7,7596,Low,300,135,32.88888864526749,0.12064197441499772,5.493333333333333,10.81983721029568,0.03606612391409852,3.4990226765550707,0.011663408882972206,6.726283437987409,0.5146026385073107,Rain,Residential,0.5050226531159328,0.45
8,4631,Low,300,135,32.89629605262003,0.14195061623246458,5.69,10.813364921968802,0.036044549619747505,3.4972730549685145,0.01165757681103646,6.771718536589844,0.5064285826751601,Heavy Rain,Residential,0.8976017977386308,0.45
9,228,Low,300,126,34.69841242302847,0.2997883574090871,7.25,10.712611284162222,0.03570870416151173,3.4641979737766544,0.011547326540764426,6.416059245858114,0.5614856513266817,Clear,Residential,0.8952030529460855,0.42
