Run_ID,Seed,Scenario,Simulation_Time_sec,Vehicles_Passed,Avg_Travel_Time_sec,Avg_Waiting_Time_sec_per_vehicle,Avg_Queue_Length_vehicles,Total_CO2_kg,Avg_CO2_kg,Total_Fuel_L,Avg_Fuel_L,Avg_Speed_kmh,Fairness_Index,Weather,Zone_Type,Road_Capacity,Throughput_vehicles_per_sec
1,7287,Low,60,19,22.578946180055464,0.69385961260388,4.5,1.7443589701831232,0.029072649018507906,0.5639325405594287,0.009398875519342553,7.318949906328232,0.2990308093003756,Fog,Commercial,0.6461449586036214,0.31666666666666665
2,9089,Low,60,19,22.736840908587318,0.8438596047091437,5.05,1.7220863894018,0.028701439345006012,0.5567587255592765,0.009279311937999411,7.287194380457268,0.3775487795683832,Fog,Residential,0.6059680118795026,0.31666666666666665
3,1885,Low,60,19,22.315788299169036,0.8956139879501409,4.4,1.7607088308396266,0.029345146691574665,0.5691075729123102,0.009485126057119736,7.531683685107308,0.38988115103607535,Heavy Rain,School,0.7080148155932231,0.31666666666666665
4,3708,Low,120,51,27.21568574086891,0.20767973448993987,4.141666666666667,4.198583755186447,0.034988197668318746,1.3570290310875377,0.011308575164824688,7.4513957952058165,0.5048871860866122,Clear,School,0.5510514420914766,0.425
5,7875,Low,120,45,31.599999297777796,0.3685185103292183,5.166666666666667,3.941813848307318,0.032848448462157245,1.2742013990240881,0.010618344903381195,6.726136891714831,0.4792546173901495,Rain,Commercial,0.7087745529138993,0.375
6,6349,Low,120,44,30.249999312500016,0.2882575692062674,4.608333333333333,3.901047530715489,0.032508729151723,1.2611386438370766,0.010509488611063234,6.647030870552049,0.48321641416985905,Fog,Residential,0.6075704314818366,0.36666666666666664
7,2383,Low,300,130,34.19999973692308,0.21028204966449704,6.3966666666666665,10.700170859856662,0.03566723608063142,3.4603544458188784,0.011534514780947878,6.591246945569657,0.5053239887718093,Clear,Residential,0.6934221621689771,0.43333333333333335
8,1274,Low,300,135,32.65185160998629,0.1245925916696845,5.28,11.003023919041661,0.03667674627454972,3.558180144523179,0.011860600442208595,6.731445237945462,0.5031666870648064,Rain,Commercial,0.5641723760465478,0.45
9,5907,Low,300,132,33.59848459395087,0.15434343317416593,6.05,11.00749095283085,0.03669163638713071,3.5593323394193144,0.011864441091849578,6.505084947746115,0.5417134432535872,Clear,Industrial,0.6554824390553728,0.44
