Run_ID,Seed,Scenario,Simulation_Time_sec,Vehicles_Passed,Avg_Travel_Time_sec,Avg_Waiting_Time_sec_per_vehicle,Avg_Queue_Length_vehicles,Total_CO2_kg,Avg_CO2_kg,Total_Fuel_L,Avg_Fuel_L,Avg_Speed_kmh,Fairness_Index,Weather,Zone_Type,Road_Capacity,Throughput_vehicles_per_sec,Model
1,8509,Low,60,23,23.086955517958454,0.41594201090107197,3.683333333333333,1.8831787416241252,0.03138631183729689,0.6087815999065501,0.010146359829336505,8.081806570561032,0.4381301704449172,Rain,Industrial,0.7863162438491613,0.38333333333333336,ppo_1000.zip
2,8730,Low,60,14,26.285712408163402,4.44999968214288,6.95,1.549284993024175,0.025821416120045983,0.5008422500329196,0.00834737069475915,6.3424884051704415,0.47105591095179644,Fog,Commercial,0.6990768213366867,0.23333333333333334,ppo_1000.zip
3,9275,Low,60,24,17.958332585069474,0.6236110851273159,2.9833333333333334,1.8372216879647623,0.030620360955740025,0.5940207939759733,0.00990034640126045,8.920934257306628,0.3926525816536671,Rain,School,0.5077386453859412,0.4,ppo_1000.zip
4,3834,Low,120,52,26.365384108358,0.20657050884800304,3.8,4.267947590731073,0.0355662296263737,1.3794710563729398,0.011495592040644565,7.665164091676674,0.4099941299734662,Heavy Rain,School,0.745378362424965,0.43333333333333335,ppo_1000.zip
5,7203,Low,120,39,33.71794785338596,2.0183760166228373,7.766666666666667,3.8567823727718773,0.03213985283860021,1.2462237874696576,0.010385198142370496,6.221026249830857,0.5430444655580117,Fog,Residential,0.8274678879299746,0.325,ppo_1000.zip
6,3161,Low,120,38,30.15789394321332,2.163815732531165,7.991666666666666,3.8931433304484298,0.032442860816713076,1.2576351185188444,0.010480292566987931,6.138309492112834,0.5458108535139456,Clear,Commercial,0.639322253606641,0.31666666666666665,ppo_1000.zip
7,7768,Low,300,117,36.62393131090657,0.5082336138897412,8.076666666666666,10.553811871923248,0.03517937278914625,3.4125673337537905,0.011375224407928554,6.040793650989051,0.524257880925536,Heavy Rain,Residential,0.6055732003801632,0.39,ppo_1000.zip
8,3668,Low,300,135,32.98518494085048,0.15950617165797898,5.473333333333334,11.125340251090176,0.037084467380019026,3.597763869471542,0.011992546191596653,6.556307837896174,0.4443488791770036,Fog,Industrial,0.8207551925078174,0.45,ppo_1000.zip
9,6751,Low,300,123,34.98373955297773,0.35089430609029015,7.593333333333334,10.754638944194491,0.03584879636115232,3.477341062498489,0.01159113683635784,6.308700425671688,0.5156229457898025,Clear,Commercial,0.825210335106226,0.41,ppo_1000.zip
