Run_ID,Seed,Scenario,Simulation_Time_sec,Vehicles_Passed,Avg_Travel_Time_sec,Avg_Waiting_Time_sec_per_vehicle,Avg_Queue_Length_vehicles,Total_CO2_kg,Avg_CO2_kg,Total_Fuel_L,Avg_Fuel_L,Avg_Speed_kmh,Fairness_Index,Weather,Zone_Type,Road_Capacity,Throughput_vehicles_per_sec,Model
1,6098,Low,60,20,22.649998867500056,0.3491666492083342,3.183333333333333,1.7759812793599603,0.02959968749600455,0.5741619759584906,0.009569366106485408,7.927193098603289,0.4951241234580074,Clear,School,0.8647779583864235,0.3333333333333333,ppo_4000.zip
2,6806,Low,60,24,21.62499909895837,0.3618055404803247,3.566666666666667,1.9590086472387462,0.03265014357647671,0.6332991705496149,0.010554985999910482,8.648918988621794,0.33382136856609346,Heavy Rain,Commercial,0.7398685560494909,0.4,ppo_4000.zip
3,7747,Low,60,23,21.82608600756148,0.31304346465028415,3.2,1.8719582448814032,0.031199303561368328,0.6051049691135898,0.01008508265047512,8.649423717158728,0.1294760047147412,Heavy Rain,Commercial,0.6539367414008495,0.38333333333333336,ppo_4000.zip
4,7028,Low,120,43,28.34883655002706,0.7009689759464579,6.025,3.927735064456541,0.03273112526437846,1.269631914235171,0.010580265863790878,6.608390872761407,0.448496972219137,Rain,Commercial,0.7511531530916006,0.35833333333333334,ppo_4000.zip
5,7488,Low,120,50,27.299999454000012,0.2714999945700001,4.333333333333333,4.375259470365995,0.03646049528254583,1.4138767036574291,0.011782305765626028,7.3094747013682015,0.31521193438321293,Rain,School,0.8366504611020427,0.4166666666666667,ppo_4000.zip
6,5406,Low,120,38,32.052630735457086,0.7594298045764087,6.433333333333334,3.8061413049181976,0.03171784394333628,1.2302398377213557,0.010251998562244643,6.073486485165239,0.4188339921639397,Fog,Residential,0.780150679116034,0.31666666666666665,ppo_4000.zip
7,6218,Low,300,121,36.289255898435904,0.4181542665166314,7.816666666666666,10.618412833346683,0.03539470932650658,3.433725531890174,0.01144575173481474,6.12877105181257,0.5429584520780077,Clear,Residential,0.736470629725301,0.4033333333333333,ppo_4000.zip
8,7621,Low,300,144,31.402777559702933,0.110925925155607,5.12,11.32855114719673,0.03776183703144965,3.6633072297500378,0.012211024058463379,7.126120122266384,0.46729682222684166,Rain,Industrial,0.5360256524754421,0.48,ppo_4000.zip
9,324,Low,300,136,33.426470342452426,0.12992646963289362,5.21,10.90653909072716,0.0363551301812401,3.527119395730391,0.011757064613244422,6.665395710929113,0.4220800915383359,Rain,Industrial,0.5788285144358559,0.4533333333333333,ppo_4000.zip
