Run_ID,Seed,Scenario,Simulation_Time_sec,Vehicles_Passed,Avg_Travel_Time_sec,Avg_Waiting_Time_sec_per_vehicle,Avg_Queue_Length_vehicles,Total_CO2_kg,Avg_CO2_kg,Total_Fuel_L,Avg_Fuel_L,Avg_Speed_kmh,Fairness_Index,Weather,Zone_Type,Road_Capacity,Throughput_vehicles_per_sec
1,4683,Low,60,21,22.047617997732477,0.3714285537414974,3.033333333333333,1.8750347612216722,0.03125057883285156,0.6062299035580163,0.010103831557569746,8.165912124938126,0.4584080233665152,Fog,School,0.5383016692842134,0.35
2,5281,Low,60,25,18.71999925120003,0.33733331984000053,2.933333333333333,1.8859336312838586,0.03143222666419387,0.6097713113590773,0.010162855019937038,9.205022613330836,0.3905871314911179,Rain,School,0.52303524888637,0.4166666666666667
3,2941,Low,60,25,19.31999922720003,0.21399999144000031,2.683333333333333,1.8907921425953935,0.03151320185136986,0.6112956826405346,0.01018826120753789,9.42871556737779,0.3491882958428537,Clear,School,0.8876805034500888,0.4166666666666667
4,910,Low,120,45,30.599999320000016,0.38499999144444463,4.741666666666666,4.136046237464963,0.03446705169164926,1.3361120263340291,0.011134266793331354,6.652018791647006,0.43640573590845566,Heavy Rain,Commercial,0.8426556648812837,0.375
5,8365,Low,120,51,29.176470016147647,0.16307189222734852,3.7083333333333335,4.148719876089586,0.034572665345974335,1.3410162684814961,0.011175135477553005,7.375578744287248,0.49864482020087764,Heavy Rain,School,0.8947012210151155,0.425
6,3638,Low,120,52,26.923076405325457,0.16474358657544386,3.5166666666666666,4.292363101935561,0.03576969221804891,1.3869194444314596,0.01155766194061498,7.75130990247934,0.29961990412800044,Heavy Rain,Residential,0.56835260246318,0.43333333333333335
7,9941,Low,300,135,32.459259018820305,0.16296296175582992,6.15,11.23299122995035,0.03744330397502349,3.6321200162030647,0.012107066680319993,6.78738937265747,0.5398776944318864,Clear,Residential,0.9090078882426802,0.45
8,2183,Low,300,137,32.547445017901865,0.17014598415951837,6.113333333333333,11.215719127702567,0.03738573030105612,3.626481048850896,0.012088270122542086,6.867328032366484,0.5492330511288306,Fog,Residential,0.9442832543831636,0.45666666666666667
9,7000,Low,300,140,31.314285490612246,0.0932142850484694,4.24,11.166279480646006,0.03722093147808358,3.6108893447456327,0.012036297775697783,6.921301247497187,0.4266847607741302,Rain,Industrial,0.5848927402268345,0.4666666666666667
