Run_ID,Seed,Scenario,Simulation_Time_sec,Vehicles_Passed,Avg_Travel_Time_sec,Avg_Waiting_Time_sec_per_vehicle,Avg_Queue_Length_vehicles,Total_CO2_kg,Avg_CO2_kg,Total_Fuel_L,Avg_Fuel_L,Avg_Speed_kmh,Fairness_Index,Weather,Zone_Type,Road_Capacity,Throughput_vehicles_per_sec
1,137,Low,60,21,23.2857131768708,0.46190473990929803,4.016666666666667,1.8910038712810049,0.031516730662737906,0.6111831656523913,0.010186385924433423,7.873372293942965,0.32966054339535533,Rain,School,0.6484573483572369,0.35
2,3355,Low,60,19,22.26315672299175,0.80877188725762,4.983333333333333,1.7090789622360476,0.028484648895856647,0.5525734103835331,0.009209556686232941,7.158076741744082,0.3471919324530405,Clear,Commercial,0.8765685969176111,0.31666666666666665
3,7076,Low,60,19,24.263156617728598,0.6692982103878135,4.15,1.821914666127009,0.03036524392936275,0.5886622099616011,0.009811036669176074,7.524271323040753,0.285422817075339,Rain,Industrial,0.8612825429924786,0.31666666666666665
4,2033,Low,120,51,28.80392100384469,0.17696078084390626,3.8583333333333334,4.034231707851714,0.033618597285275977,1.3042434838791996,0.010868695608420867,7.409248329707129,0.36400164286442616,Heavy Rain,Industrial,0.8263673899778325,0.425
5,4054,Low,120,49,27.97959126572263,0.324829925343607,5.091666666666667,4.136924239395449,0.03447436837434234,1.3372972400448255,0.011144143574172349,7.386226886298229,0.4439229360558511,Fog,Residential,0.8368351344442346,0.4083333333333333
6,2823,Low,120,42,33.16666587698415,0.4702380840419504,5.775,3.8476945816497508,0.032064121246546916,1.2438456870722605,0.010365380639223999,6.405338803769635,0.5135758770440528,Clear,Commercial,0.6535492184590125,0.35
7,3280,Low,300,137,32.408758887527306,0.11530413541140534,5.283333333333333,10.774767097577488,0.03591589020553866,3.484891628042897,0.011616305388088638,7.054500419229236,0.45482434182886466,Fog,Residential,0.6621299373445902,0.45666666666666667
8,7212,Low,300,129,34.13178268114897,0.1936434093516015,6.3966666666666665,10.605376265695844,0.03535125410114863,3.4303467630346467,0.011434489172000526,6.424656226888378,0.5378477324803199,Rain,Commercial,0.9427059179738191,0.43
9,2753,Low,300,133,32.75939824992934,0.19005012388433493,6.156666666666666,10.876870246863458,0.03625623403535742,3.5171373130427144,0.011723791004396411,6.660302612144448,0.5222335913352749,Clear,Residential,0.6375366298198498,0.44333333333333336
