Run_ID,Seed,Scenario,Simulation_Time_sec,Vehicles_Passed,Avg_Travel_Time_sec,Avg_Waiting_Time_sec_per_vehicle,Avg_Queue_Length_vehicles,Total_CO2_kg,Avg_CO2_kg,Total_Fuel_L,Avg_Fuel_L,Avg_Speed_kmh,Fairness_Index,Weather,Zone_Type,Road_Capacity,Throughput_vehicles_per_sec
1,7351,Low,60,19,22.26315672299175,0.8649122351800578,5.15,1.6985878240462604,0.02830979659560773,0.5491637666189666,0.009152729291103955,7.172731803943083,0.3769996590789426,Rain,Industrial,0.9055760884409619,0.31666666666666665
2,124,Low,60,21,23.04761795011343,0.519047594331067,4.15,1.8668646165038028,0.031114409756489884,0.6033765665162294,0.010056275940999225,7.8152682209280675,0.3462445974654137,Heavy Rain,Residential,0.8284767897339753,0.35
3,3495,Low,60,19,22.526314603878177,0.8535087270083125,5.1,1.6907497745829705,0.02817916244006347,0.5465991075103347,0.009109984973339163,7.108058930213606,0.39173545412755895,Fog,Residential,0.8594372807670647,0.31666666666666665
4,5413,Low,120,47,28.59574407243098,0.31489361032141255,4.833333333333333,4.0250231612911005,0.033541859397910344,1.3013084812822784,0.010844237253650343,7.046224976008944,0.5116093099744816,Fog,Commercial,0.7481137635504156,0.39166666666666666
5,7197,Low,120,46,31.108694975897937,0.2637681102079396,4.483333333333333,4.025473886177649,0.03354561543860028,1.3011481813119752,0.010842901420575615,6.679839247267582,0.3678221738272349,Fog,Commercial,0.588026205757709,0.38333333333333336
6,549,Low,120,43,30.232557436452154,0.5939922342482427,5.95,3.8544806341005113,0.03212067168316533,1.2461977249178762,0.010384980954440794,6.549242854776122,0.45287737562874264,Clear,Commercial,0.9943552623740556,0.35833333333333334
7,3789,Low,300,135,32.76296272027435,0.1279012336204847,5.5633333333333335,11.13703883794256,0.03712346266939699,3.601398527070696,0.01200466171688678,6.659820155606929,0.5352197499711806,Fog,Industrial,0.9375232338702825,0.45
8,6335,Low,300,140,31.035714064030614,0.08935714221887756,4.623333333333333,11.065611269614086,0.036885370775762386,3.5787001082129217,0.011929000320946405,6.821497478764732,0.4434278977358941,Fog,Industrial,0.5827772732731814,0.4666666666666667
9,9384,Low,300,133,32.68421028056985,0.16538846993442252,6.236666666666666,11.070936847640736,0.03690312270245871,3.579777653959731,0.011932592140090462,6.712185947778229,0.5575608829687934,Clear,Industrial,0.8013908947187357,0.44333333333333336
