Run_ID,Seed,Scenario,Simulation_Time_sec,Vehicles_Passed,Avg_Travel_Time_sec,Avg_Waiting_Time_sec_per_vehicle,Avg_Queue_Length_vehicles,Total_CO2_kg,Avg_CO2_kg,Total_Fuel_L,Avg_Fuel_L,Avg_Speed_kmh,Fairness_Index,Weather,Zone_Type,Road_Capacity,Throughput_vehicles_per_sec,Model
1,2917,Low,60,16,22.68749858203134,1.1479165949218795,5.3,1.7207700748226327,0.0286795007690522,0.5561206683721694,0.009268677651724863,6.694979429088761,0.3729904739581683,Clear,Industrial,0.5330123657358756,0.26666666666666666,ppo_19000.zip
2,2147,Low,60,22,23.99999890909096,0.431060586466943,3.8666666666666667,1.8732935640765083,0.031221558880915823,0.6054368972500073,0.010090614785989875,8.054356322352175,0.24975251395936438,Rain,School,0.8082313024917887,0.36666666666666664,ppo_19000.zip
3,7282,Low,60,24,18.041665914930586,0.6361110846064826,3.0833333333333335,1.804217292752475,0.03007028771136979,0.5833251322597569,0.009722085375627859,9.041174677582715,0.3642041153844323,Heavy Rain,School,0.5913863277853337,0.4,ppo_19000.zip
4,5845,Low,120,53,27.207546656461385,0.2473270393586093,4.033333333333333,4.207680547813813,0.035064004272915075,1.3598490617332324,0.011332075420009642,7.633293764682869,0.37939457261773424,Heavy Rain,Industrial,0.8826338569673111,0.44166666666666665,ppo_19000.zip
5,9296,Low,120,52,26.692307178994096,0.1612179456176036,3.433333333333333,4.154755105118754,0.034622958920798294,1.3426882080242306,0.011189068306959687,7.795243912271792,0.3339779459814721,Heavy Rain,Residential,0.563680208554805,0.43333333333333335,ppo_19000.zip
6,1098,Low,120,52,28.807691753698236,0.23461538010355037,4.466666666666667,4.205780336876695,0.035048169181904384,1.3598474062666626,0.011332061624455008,7.36079886441972,0.4403483862129681,Rain,School,0.508325068859809,0.43333333333333335,ppo_19000.zip
7,617,Low,300,142,32.119718083663955,0.14535211165244993,4.87,10.976896466358756,0.036589654765897005,3.5500305842101336,0.011833435241255661,7.001168170058478,0.43219344380205926,Heavy Rain,Commercial,0.7161880919188994,0.47333333333333333,ppo_19000.zip
8,5389,Low,300,144,30.604166454137733,0.11425925846579219,4.75,10.981383997676428,0.036604613203572715,3.55134129657292,0.011837804282450385,7.250832512052704,0.4020349706568995,Fog,Industrial,0.8212135176258115,0.48,ppo_19000.zip
9,6141,Low,300,135,32.88888864526749,0.12256790032665753,5.3,11.09020415716704,0.03696734706733231,3.586567397262571,0.011955224617691154,6.670310411838342,0.46912138896658917,Heavy Rain,Residential,0.9499610431266101,0.45,ppo_19000.zip
