Run_ID,Seed,Scenario,Simulation_Time_sec,Vehicles_Passed,Avg_Travel_Time_sec,Avg_Waiting_Time_sec_per_vehicle,Avg_Queue_Length_vehicles,Total_CO2_kg,Avg_CO2_kg,Total_Fuel_L,Avg_Fuel_L,Avg_Speed_kmh,Fairness_Index,Weather,Zone_Type,Road_Capacity,Throughput_vehicles_per_sec
1,9969,Low,60,20,22.099998895000056,0.3591666487083342,2.933333333333333,1.8454805362045485,0.030758008424109005,0.5966344968472576,0.009943908115055824,7.884344941046104,0.3300273659914128,Heavy Rain,School,0.7244985968704534,0.3333333333333333
2,7616,Low,60,22,20.409089981405,0.30530301642562047,3.0833333333333335,1.854125008868994,0.030902082966115185,0.5993651220124689,0.009989418533717508,8.604289339299749,0.5252159771107636,Fog,Commercial,0.5814734637910064,0.36666666666666664
3,5424,Low,60,25,18.239999270400027,0.599999976000001,3.05,1.8915592975914235,0.031525987767757266,0.6116482990394205,0.010194138147421374,9.332153513160359,0.33228179746772857,Rain,Industrial,0.8452367562244253,0.4166666666666667
4,6390,Low,120,53,27.50943344321824,0.12106918010561296,3.183333333333333,4.354139392959028,0.036284494638954445,1.4068827870432032,0.011724023127659834,7.786913545210024,0.4137296273798453,Clear,Residential,0.5873413575429107,0.44166666666666665
5,702,Low,120,50,27.619999447600012,0.21633332900666677,3.725,4.168024003753651,0.03473353307516765,1.3469837326245133,0.011224864344997075,7.2069564870733664,0.4767253610798817,Heavy Rain,School,0.8037427847373082,0.4166666666666667
6,4132,Low,120,52,27.05769178735208,0.23685896980399418,4.108333333333333,4.345270301229732,0.03621058554182622,1.4041706276154877,0.011701421799283882,7.49596940521028,0.3607780899305262,Rain,Industrial,0.8662527103948587,0.43333333333333335
7,3252,Low,300,142,31.169013865006946,0.07119718259720294,3.7066666666666666,11.10541329699262,0.03701804419991525,3.590817052017466,0.011969390133493586,7.0198095390976265,0.49188194197220114,Rain,Commercial,0.6460064114151509,0.47333333333333333
8,2569,Low,300,153,29.248365821906106,0.04788670992666639,3.5633333333333335,11.4575131778431,0.03819171046550463,3.7045889530983565,0.01234862980249909,7.534035072582373,0.4917990487353374,Rain,Commercial,0.6386204428366965,0.51
9,1018,Low,300,145,29.806896346159338,0.07990804542592152,3.723333333333333,11.117999756263211,0.03705999906401071,3.5952471238930275,0.011984157039696235,7.349275110890395,0.36860025397113694,Fog,Industrial,0.6778175914613822,0.48333333333333334
