Run_ID,Seed,Scenario,Simulation_Time_sec,Vehicles_Passed,Avg_Travel_Time_sec,Avg_Waiting_Time_sec_per_vehicle,Avg_Queue_Length_vehicles,Total_CO2_kg,Avg_CO2_kg,Total_Fuel_L,Avg_Fuel_L,Avg_Speed_kmh,Fairness_Index,Weather,Zone_Type,Road_Capacity,Throughput_vehicles_per_sec,Model
1,2686,Low,60,18,25.11110971604946,0.6768518142489732,4.016666666666667,1.8008243965579454,0.030013739442403434,0.5819584900386413,0.009699308005655556,7.354516160400368,0.3436766991988477,Rain,School,0.9019921337653254,0.3,ppo_6000.zip
2,3726,Low,60,22,19.818180917355413,0.21742423254132276,2.6,1.8202608194856535,0.030337679819132896,0.5884040478629325,0.00980673396760331,8.733582361674271,0.41165182087320906,Heavy Rain,Industrial,0.6131107422401878,0.36666666666666664,ppo_6000.zip
3,2783,Low,60,15,23.866665075555662,2.0766665282222316,6.05,1.677695652268158,0.02796159373844274,0.5424247258073307,0.009040411946115313,6.689519582917525,0.3545778368245084,Clear,Commercial,0.8553133986385328,0.25,ppo_6000.zip
4,8212,Low,120,48,27.895832752170154,0.28437499407552097,4.45,4.109470598819708,0.03424558803811767,1.3279881616267364,0.011066567921334737,6.952627025622039,0.3372692678919116,Fog,Industrial,0.5750915691651539,0.4,ppo_6000.zip
5,7776,Low,120,43,29.511627220659832,0.5891472731206061,6.041666666666667,3.960105042927763,0.03300087508272407,1.2799426602615271,0.01066618874662782,6.644408272849467,0.4209278952053477,Fog,Residential,0.5415322688593758,0.35833333333333334,ppo_6000.zip
6,2821,Low,120,39,32.15384532938858,0.7202991268299369,6.15,3.856079206857021,0.0321339931226919,1.2465466879142157,0.010387888979386056,6.302529149822633,0.3982825335757936,Rain,Commercial,0.6316629654985755,0.325,ppo_6000.zip
7,3790,Low,300,124,35.92741906510146,0.32174730923322065,7.453333333333333,10.81308237701856,0.03604360780324984,3.496465305395577,0.011654884312468975,6.186252443157006,0.5312206253630797,Rain,Residential,0.7800116389445081,0.41333333333333333,ppo_6000.zip
8,4303,Low,300,123,35.0243899591513,0.3740108370676625,7.663333333333333,10.711896028702675,0.035706319976654514,3.464060791104898,0.01154686926519343,6.239863482858593,0.5163594225401867,Rain,Residential,0.824051937878339,0.41,ppo_6000.zip
9,2129,Low,300,126,33.85714258843538,0.2652645481592761,7.026666666666666,10.788471547990632,0.035961571706763534,3.4885959670234983,0.011628653184649484,6.310085405267496,0.5162835328561983,Heavy Rain,Residential,0.7644896078845628,0.42,ppo_6000.zip
