Run_ID,Seed,Scenario,Simulation_Time_sec,Vehicles_Passed,Avg_Travel_Time_sec,Avg_Waiting_Time_sec_per_vehicle,Avg_Queue_Length_vehicles,Total_CO2_kg,Avg_CO2_kg,Total_Fuel_L,Avg_Fuel_L,Avg_Speed_kmh,Fairness_Index,Weather,Zone_Type,Road_Capacity,Throughput_vehicles_per_sec,Model
1,7065,Low,60,19,21.210525199446042,0.6903508408587277,4.233333333333333,1.8237259533305181,0.030395432048918102,0.5894692338596647,0.00982448706725296,7.523402083636909,0.261310055887663,Clear,Industrial,0.8314280591197909,0.31666666666666665,ppo_4000.zip
2,3383,Low,60,22,19.772726373966982,0.5121211888429763,4.066666666666666,1.9150843392591579,0.0319180717890181,0.6189139214148569,0.010315231851660419,8.435907688438169,0.20462252537425096,Rain,Commercial,0.7688472127235801,0.36666666666666664,ppo_4000.zip
3,9481,Low,60,19,22.315788299169036,0.8728069716066506,3.566666666666667,1.8319088444044915,0.030531813564544635,0.5923059478651254,0.009871765633222663,7.480763937489734,0.42003356507095546,Rain,School,0.5887097402241538,0.31666666666666665,ppo_4000.zip
4,7434,Low,120,50,25.93999948120001,0.2146666623733334,4.2,3.897541273622417,0.03247951034285756,1.2603227444964031,0.010502689449947615,7.659052148701821,0.2939631406029277,Clear,Residential,0.5572442425858264,0.4166666666666667,ppo_4000.zip
5,1907,Low,120,57,22.789473284395207,0.14517543604955377,3.5083333333333333,4.317746627115693,0.035981221592787264,1.395190061229954,0.011626583746694752,8.706474516938977,0.3027827794055029,Fog,School,0.9244465306200191,0.475,ppo_4000.zip
6,2869,Low,120,54,24.499999546296305,0.1253086396547783,3.2666666666666666,4.129692337588717,0.034414102526455125,1.334593280333857,0.01112161057676872,8.357040860810974,0.31351497784014304,Rain,Industrial,0.7223517614508266,0.45,ppo_4000.zip
7,8962,Low,300,140,31.69999977357143,0.12064285628112247,4.826666666666667,11.162124079187304,0.03720708013993408,3.6095732905475124,0.012031910928385339,6.866073477245338,0.43678590345082946,Fog,School,0.6734018449284398,0.4666666666666667,ppo_4000.zip
8,5959,Low,300,128,32.85937474328613,0.2991145809965007,6.8933333333333335,10.73840851418463,0.035794694927966456,3.4722436476703904,0.01157414545365415,6.670562178287895,0.4829816567133989,Rain,Commercial,0.9255690438557997,0.4266666666666667,ppo_4000.zip
9,6153,Low,300,137,30.91240853348607,0.1811192200891541,5.88,10.776296475566463,0.03592098813215158,3.484767384417443,0.011615891242671839,7.000321028464308,0.40649111253964754,Clear,Industrial,0.8383012532479294,0.45666666666666667,ppo_4000.zip
