Run_ID,Seed,Scenario,Simulation_Time_sec,Vehicles_Passed,Avg_Travel_Time_sec,Avg_Waiting_Time_sec_per_vehicle,Avg_Queue_Length_vehicles,Total_CO2_kg,Avg_CO2_kg,Total_Fuel_L,Avg_Fuel_L,Avg_Speed_kmh,Fairness_Index,Weather,Zone_Type,Road_Capacity,Throughput_vehicles_per_sec,Model
1,2168,Low,60,19,21.526314656509754,0.627192949445985,4.483333333333333,1.7326198783698232,0.028876997491547096,0.5600943114164474,0.009334905034692373,7.545039996244593,0.34400586900557595,Rain,Commercial,0.9485821377075526,0.31666666666666665,ppo_1000.zip
2,5991,Low,60,24,23.45833235590282,0.2715277664641208,3.1166666666666667,1.9562776444575405,0.03260462686421523,0.632414806877007,0.010540246605612674,8.576091985743592,0.18178349350200707,Heavy Rain,Industrial,0.9867864504717021,0.4,ppo_1000.zip
3,4558,Low,60,22,22.181817173553764,0.5287878547520671,4.05,1.929508408389738,0.03215847293718775,0.6236747233737285,0.0103945785496525,8.087770186626688,0.3322293980134047,Fog,Commercial,0.9451695196842071,0.36666666666666664,ppo_1000.zip
4,8821,Low,120,49,29.63265245647648,0.2865646200020826,3.9583333333333335,4.2748858466322055,0.03562404842506798,1.3815071549286941,0.011512559528467789,7.098168642428066,0.28070535930277807,Rain,School,0.6822779691026293,0.4083333333333333,ppo_1000.zip
5,3408,Low,120,49,28.551019825489394,0.2891156403581842,4.333333333333333,4.157884480679567,0.03464903705025442,1.3438471141841848,0.011198725858212157,7.132873899184763,0.20374415166176263,Heavy Rain,School,0.6121605890233153,0.4083333333333333,ppo_1000.zip
6,2571,Low,120,54,25.01851805521263,0.19567900872199367,4.191666666666666,4.3316585640878476,0.03609715439992244,1.3997245897675559,0.011664371484193203,7.852601339610255,0.39231654827366325,Fog,Industrial,0.8759549816778442,0.45,ppo_1000.zip
7,931,Low,300,138,32.11594179626129,0.10700483014247708,4.426666666666667,11.196817357955277,0.03732272440210851,3.620682795936152,0.012068942612890697,6.905945089028992,0.45604806934011866,Rain,School,0.7810932365550349,0.46,ppo_1000.zip
8,7424,Low,300,146,30.815068282088575,0.10794520474010134,5.133333333333334,11.17865479131897,0.037262182513522625,3.6149795677373566,0.012049931852291416,7.226277221267598,0.4306414039845843,Rain,Commercial,0.7009382277099634,0.4866666666666667,ppo_1000.zip
9,4123,Low,300,133,32.96992456413591,0.14669172822036297,5.973333333333334,11.078492467534698,0.0369283081020213,3.5824972799560197,0.011941657560047874,6.599404725661026,0.5251329987061113,Rain,Industrial,0.8623977649004506,0.44333333333333336,ppo_1000.zip
