Run_ID,Seed,Scenario,Simulation_Time_sec,Vehicles_Passed,Avg_Travel_Time_sec,Avg_Waiting_Time_sec_per_vehicle,Avg_Queue_Length_vehicles,Total_CO2_kg,Avg_CO2_kg,Total_Fuel_L,Avg_Fuel_L,Avg_Speed_kmh,Fairness_Index,Weather,Zone_Type,Road_Capacity,Throughput_vehicles_per_sec
1,3633,Medium,60,25,19.95999920160003,0.2453333235200004,2.8666666666666667,1.9793029282436736,0.032988381587588204,0.6398166557754936,0.010663610751864715,9.403650596457764,0.2866113348947452,Fog,Industrial,0.6979372100927241,0.4166666666666667
2,5139,Medium,60,21,24.809522628117968,0.8698412284202589,5.083333333333333,1.7692733253993638,0.029487888265191258,0.5721107439995662,0.009535178907739788,7.704874581194192,0.35421499982673643,Fog,Residential,0.8726630773485964,0.35
3,8665,Medium,60,22,23.136362584710792,0.4053030118801661,3.7666666666666666,1.90702896448776,0.03178381554506574,0.6164569963533103,0.01027428310131712,8.261458748128213,0.3673341661337567,Clear,Industrial,0.5768442956274653,0.36666666666666664
4,9546,Medium,60,23,21.652172971644653,0.49492751471329643,3.85,1.8836071909188867,0.03139345265875724,0.6089486169578058,0.010149143446811039,8.120617799565053,0.25195876820399765,Heavy Rain,Residential,0.5563176317628837,0.38333333333333336
5,2983,Medium,60,21,24.809522628117968,0.9579364623204859,5.316666666666666,1.7684054098946358,0.029473423007020213,0.5718656800840961,0.009531094509216693,7.83203002773936,0.40571847433869734,Rain,Industrial,0.9889690356881505,0.35
6,8086,Medium,120,48,29.145832726128486,0.4630208236870662,5.583333333333333,4.097852314651199,0.03414876900418692,1.3239544189411605,0.01103295339923506,7.088462069992692,0.4272468088455187,Clear,Residential,0.5852310914269221,0.4
7,3427,Medium,120,45,28.46666603407409,0.6620370223251033,5.291666666666667,3.941894901694461,0.032849123907044475,1.2744776289495645,0.010620646819407647,7.074568890550962,0.4748203665573415,Heavy Rain,Residential,0.6239042161166906,0.375
8,692,Medium,120,50,25.719999485600013,0.44149999117000016,4.908333333333333,4.209127527198018,0.03507606243434963,1.360424224298814,0.011336868441349547,7.587790376142065,0.34297622912591563,Heavy Rain,Residential,0.5076104762670782,0.4166666666666667
9,4784,Medium,120,54,25.425925455075454,0.20833332947530872,4.066666666666666,4.121477270001294,0.03434564363046375,1.33195005866571,0.01109958372971772,8.085278067308428,0.3449800619227045,Heavy Rain,Residential,0.6811202108158565,0.45
10,2181,Medium,120,46,30.391303687145573,0.47536230850661654,5.391666666666667,3.952626668627022,0.032938555297403894,1.2776044815638286,0.010646703924309373,6.9132048023793065,0.47035238819466474,Clear,School,0.7885595272376055,0.38333333333333336
11,6833,Medium,300,140,32.09999977071429,0.10876190398503402,5.236666666666666,11.100346422788318,0.037001154619290544,3.5895013456185265,0.01196500444551174,6.9952536202364595,0.44498526019238505,Rain,School,0.5995682698512147,0.4666666666666667
12,4366,Medium,300,126,34.98412670647519,0.2963227489709835,7.23,10.937919364411536,0.03645973109317269,3.536618953600043,0.011788729806037712,6.3479587500931185,0.5496069047465375,Rain,Industrial,0.9772464445734499,0.42
13,4348,Medium,300,133,33.18045087834248,0.18285714148227714,6.266666666666667,10.743586173048485,0.035811953790788435,3.4749317019225363,0.011583105634464769,6.596468119538497,0.5205089663129548,Fog,Industrial,0.7608101127866372,0.44333333333333336
14,1791,Medium,300,128,34.39062473132324,0.2104427066892497,6.62,10.776249497463237,0.03592083153847468,3.4847618465509327,0.011615872783116866,6.394563923910787,0.5206710303403541,Clear,Residential,0.5321021258288903,0.4266666666666667
15,6103,Medium,300,139,32.03597099254697,0.1398321332865794,5.726666666666667,10.881849500304924,0.03627283154677364,3.5192699029146475,0.01173089963727916,6.950189598858918,0.4935384216487231,Fog,Residential,0.5589014548943904,0.4633333333333333
