Run_ID,Seed,Scenario,Simulation_Time_sec,Vehicles_Passed,Avg_Travel_Time_sec,Avg_Waiting_Time_sec_per_vehicle,Avg_Queue_Length_vehicles,Total_CO2_kg,Avg_CO2_kg,Total_Fuel_L,Avg_Fuel_L,Avg_Speed_kmh,Fairness_Index,Weather,Zone_Type,Road_Capacity,Throughput_vehicles_per_sec
1,9923,Low,60,22,21.954544456611615,0.27424241177686004,2.7666666666666666,1.8689730075090913,0.031149549605992363,0.6042883856899548,0.010071472926974698,8.196362558779091,0.27300388486386873,Rain,Residential,0.5103793621612057,0.36666666666666664
2,9504,Low,60,20,21.549998922500052,1.149999942500003,4.116666666666666,1.8507944381596186,0.03084657345521742,0.5983840483861232,0.009973067306884267,7.796745245213562,0.2806386332435509,Heavy Rain,Commercial,0.7863763623396183,0.3333333333333333
3,4200,Low,60,22,22.045453543388476,0.33863634824380234,3.0,1.9093695083432234,0.03182282460867331,0.6173436495284941,0.010289060653990557,8.41852906448183,0.3646233915479452,Rain,Industrial,0.8124465852270775,0.36666666666666664
4,4364,Low,120,51,25.92156811918494,0.2470588186851212,3.783333333333333,4.169082387506836,0.03474235293970403,1.347108777417878,0.011225906384933097,7.705318368303993,0.09642242192832629,Fog,Commercial,0.5275135384207257,0.425
5,8728,Low,120,54,26.07407359122086,0.1445987627543439,3.5083333333333333,4.383252577708302,0.03652710450984332,1.4163959504013701,0.011803299488317256,7.694415061279087,0.40210910825250035,Rain,Industrial,0.8600006049374744,0.45
6,6128,Low,120,51,28.745097475586327,0.214705878143022,3.55,4.122594799301197,0.034354956374552006,1.3325573915221844,0.01110464483681283,7.406716038358985,0.42173437238302103,Rain,Industrial,0.6579210457103875,0.425
7,9978,Low,300,139,31.683453009471563,0.08952038304901404,4.233333333333333,11.050491376231019,0.03683497113132016,3.573068045851821,0.011910226779805315,6.9227033020010245,0.32251442736416935,Fog,School,0.9496192045868405,0.4633333333333333
8,201,Low,300,139,31.92805732425858,0.11064748121836346,3.99,11.13935351809896,0.0371311782698926,3.602099178299354,0.012006997220974522,6.842768393849728,0.4618879123312354,Fog,School,0.5975940474210563,0.4633333333333333
9,2524,Low,300,138,32.3405794757929,0.09722222151771337,4.796666666666667,11.011454058793047,0.036704846740294006,3.5602376455307048,0.011867458778877486,6.7369407829766565,0.4670409111835614,Clear,Residential,0.7160106417611947,0.46
